from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
09-Jun-2018 - 00:00,107.96,40.45,7.34,15.26,22.59,0.61,,41.42,10-Jun-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
10-Jun-2018 - 00:00,124.79,37.04,7.05,15.12,22.17,0.66,,38.82,11-Jun-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
11-Jun-2018 - 00:00,190.23,47.21,7.37,15.27,22.64,0.65,,34.1,12-Jun-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
12-Jun-2018 - 00:00,489.88,73.26,7.31,15.26,22.57,0.55,,26.65,13-Jun-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
13-Jun-2018 - 00:00,745.56,119.44,6.96,15.09,22.05,0.58,,25.19,14-Jun-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
14-Jun-2018 - 00:00,643.57,88.79,6.96,15.08,22.04,0.61,,25.43,15-Jun-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
15-Jun-2018 - 00:00,492.23,63.32,6.85,15.02,21.87,0.54,,24.79,16-Jun-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
16-Jun-2018 - 00:00,387.0,54.5,6.91,15.06,21.96,0.49,,25.32,17-Jun-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
17-Jun-2018 - 00:00,255.61,43.06,7.02,15.11,22.13,0.5,,34.45,18-Jun-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
18-Jun-2018 - 00:00,137.53,35.08,7.2,15.21,22.42,0.5,,32.66,19-Jun-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
19-Jun-2018 - 00:00,130.25,37.03,7.36,15.29,22.65,0.5,,38.77,20-Jun-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
20-Jun-2018 - 00:00,165.22,40.17,7.07,15.13,22.2,0.51,,40.09,21-Jun-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
21-Jun-2018 - 00:00,254.77,50.11,7.03,15.1,22.12,0.51,,51.06,22-Jun-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
